,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
112203,0,ADULT,152,149,45 to 54 years,X,Main Library,December,2015,z,email,True,2004,True,0.0
288346,3,SENIOR,0,0,65 to 74 years,G4,Glen Park,None,None,z,email,True,2015,False,7.0
242659,0,ADULT,4,0,25 to 34 years,X,Main Library,August,2013,z,email,True,2012,False,5.0
156801,0,ADULT,555,100,20 to 24 years,M6,Mission,August,2013,p,phone,False,2003,False,8.0
143824,0,ADULT,2,8,25 to 34 years,X,Main Library,December,2014,z,email,True,2014,False,7.0
148694,4,WELCOME,1,0,25 to 34 years,X,Main Library,February,2015,z,email,True,2015,False,11.0
95733,0,ADULT,14,0,35 to 44 years,X,Main Library,February,2016,p,phone,False,2015,False,6.0
410736,1,JUVENILE,257,47,0 to 9 years,P7,Potrero,July,2016,p,phone,False,2014,False,10.0
81046,0,ADULT,213,179,60 to 64 years,W2,West Portal,July,2016,z,email,True,2008,False,4.0
7012,0,ADULT,0,0,55 to 59 years,X,Main Library,None,None,z,email,True,2012,False,0.0
213994,0,ADULT,49,7,45 to 54 years,X,Main Library,February,2015,p,phone,True,2010,False,8.0
417261,3,SENIOR,185,57,75 years and over,X,Main Library,November,2013,z,email,True,2003,True,0.0
173254,0,ADULT,4,0,55 to 59 years,X,Main Library,July,2016,p,phone,False,2011,False,2.0
278038,0,ADULT,77,0,25 to 34 years,O7,Ortega,February,2015,p,phone,False,2011,False,0.0
158117,0,ADULT,5,5,25 to 34 years,X,Main Library,July,2013,z,email,True,2013,False,5.0
352661,3,SENIOR,141,11,75 years and over,G4,Glen Park,May,2016,p,phone,False,2003,False,0.0
268815,0,ADULT,0,0,25 to 34 years,O7,Ortega,None,None,z,email,True,2014,False,4.0
420016,2,YOUNG ADULT,9,0,10 to 19 years,E9,Excelsior,March,2014,p,phone,False,2005,False,11.0
166660,0,ADULT,0,0,25 to 34 years,X,Main Library,December,2013,z,email,True,2013,True,0.0
184156,0,ADULT,186,247,45 to 54 years,N6,North Beach,July,2016,z,email,True,2003,False,3.0
285485,0,ADULT,23,7,55 to 59 years,S7,Sunset,June,2014,z,email,True,2009,False,7.0
220738,0,ADULT,25,0,25 to 34 years,E9,Excelsior,January,2016,p,phone,False,2011,False,2.0
312235,1,JUVENILE,313,2,0 to 9 years,O7,Ortega,July,2016,p,phone,False,2013,False,4.0
121510,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2012,False,6.0
113138,0,ADULT,5,0,20 to 24 years,P3,Parkside,August,2015,z,email,True,2015,False,7.0
281532,3,SENIOR,699,197,65 to 74 years,C2,Chinatown,December,2012,p,phone,False,2003,True,0.0
